url,title,media,height_cm,width_cm,price_gbp
https://www.bearspace.co.uk/product-page/the-wheel-by-chris-hawtin,The Wheel by Chris Hawtin,"Oil, enamel, acrylic and plaster on canvas",198,198,"4,000.00"
https://www.bearspace.co.uk/product-page/alpine-3-by-jane-ward-1,Alpine 3 by Jane Ward,Digital print on canvas with hand dissolved ink,40,30,290.00
https://www.bearspace.co.uk/product-page/yeti-over-mount-fuji-pantone-yellow-by-phil-ashcroft,YETI OVER MOUNT FUJI (PANTONE YELLOW) by Phil Ashcroft,screenprint on paper,59.4,42,150.00
https://www.bearspace.co.uk/product-page/summer-breeze-by-lucinda-metcalfe,Summer Breeze by Lucinda Metcalfe,Framed (piece float mounted in white box frame),57.5,45,690.00
https://www.bearspace.co.uk/product-page/sovereign,Sovereign,Mixed media,22,1413.5,640.00
https://www.bearspace.co.uk/product-page/embers-by-chris-hawtin,Embers by Chris Hawtin,Oil and acrylic on canvas,40,30,640.00
https://www.bearspace.co.uk/product-page/guiding-light-by-chris-hawtin,Guiding Light by Chris Hawtin,Oil & acrylic on canvas,40,30,695.00
https://www.bearspace.co.uk/product-page/loneliness-by-chris-hawtin,Loneliness by Chris Hawtin,"Oil, acrylic and pigment on canvas",40,30,640.00
https://www.bearspace.co.uk/product-page/the-castle-by-chris-hawtin,The Castle by Chris Hawtin,Oil & acrylic on canvas,90,70,"1,400.00"
https://www.bearspace.co.uk/product-page/take-our-time-someday-by-chris-hawtin,Take Our Time (Someday) by Chris Hawtin,Oil and acrylic on canvas,40,30,640.00
https://www.bearspace.co.uk/product-page/the-mortal-frame-by-chris-hawtin,The Mortal Frame by Chris Hawtin,Oil & acrylic on canvas,99,99,"1,600.00"
https://www.bearspace.co.uk/product-page/recon-drones-by-chris-hawtin,Recon Drones by Chris Hawtin,Mixed media,22,1413.5,640.00
https://www.bearspace.co.uk/product-page/copy-of-recon-drones-by-chris-hawtin,copy of Recon Drones by Chris Hawtin,Mixed media,22,1413.5,640.00
https://www.bearspace.co.uk/product-page/factory-by-chris-hawtin,Factory by Chris Hawtin,Mixed media,22,1413.5,640.00
https://www.bearspace.co.uk/product-page/capital-drone-by-chris-hawtin,Capital Drone by Chris Hawtin,Mixed media,22,1413.5,640.00
https://www.bearspace.co.uk/product-page/bridge-over-garden-city-state-by-jane-ward,Bridge Over Garden City State by Jane Ward,Archival digital print on canvas,90,120,"1,800.00"
https://www.bearspace.co.uk/product-page/the-high-way-peak-by-jane-ward,The High Way (Pass) by Jane Ward,Digital print on Canvas with hand dissolved ink,90,70,940.00
https://www.bearspace.co.uk/product-page/yellow-wall-by-lucinda-metcalfe-1,Yellow Wall by Lucinda Metcalfe,Oil Paint and acrylic on board,60,80,"1,200.00"
https://www.bearspace.co.uk/product-page/emplacement-2-by-victoria-ashdown,Emplacement 2 by Victoria Ashdown,"Yellow acrylic, steel and wire",26,4,180.00
https://www.bearspace.co.uk/product-page/emplacement-4-by-victoria-ashdown,Emplacement 4 by Victoria Ashdown,"Porcelain, blue acylic, wood, steel, wire",43,25,180.00
https://www.bearspace.co.uk/product-page/emplacement-3-by-victoria-ashdown,Emplacement 3 by Victoria Ashdown,"Green acrylic, wood, steel, wire",15,42,180.00
https://www.bearspace.co.uk/product-page/emplacement-5-by-victoria-ashdown,Emplacement 5 by Victoria Ashdown,"porcelain, pink acrylic, wood, steel, wire",40,26,240.00
https://www.bearspace.co.uk/product-page/emplacement-1-by-victoria-ashdown,Emplacement 1 by Victoria Ashdown,"Porcelain, red acrylic, steel, wire",30,30,140.00
https://www.bearspace.co.uk/product-page/skywalk-by-jane-ward,Skywalk by Jane Ward,Digital print on Canvas with dissolved ink,90,70,940.00
https://www.bearspace.co.uk/product-page/emplacement-6-by-victoria-ashdown,Emplacement 6 by Victoria Ashdown,"porcelain, green acrylic, concrete, wire",20,21,240.00
https://www.bearspace.co.uk/product-page/emplacement-7-by-victoria-ashdown,Emplacement 7 by Victoria Ashdown,"Porcelain, orange acrylic, concrete, wire",13,23,240.00
https://www.bearspace.co.uk/product-page/point-by-deanna-lewis,"""Point"" by Deanna Lewis",Acrylic and oil paint on canvas,35,50,340.00
https://www.bearspace.co.uk/product-page/follow-by-deanna-lewis,"""Follow"" by Deanna Lewis",Acrylic and oil paint on canvas,35,50,340.00
https://www.bearspace.co.uk/product-page/exchange-by-deanna-lewis,"""Exchange"" by Deanna Lewis",Acrylic and oil paint on canvas,35,50,340.00
https://www.bearspace.co.uk/product-page/push-by-deanna-lewis,"""Push"" by Deanna Lewis",Acrylic and oil paint on canvas,40,60,440.00
https://www.bearspace.co.uk/product-page/shift-by-deanna-lewis,"""Shift"" by Deanna Lewis",Acrylic and oil paint on canvas,40,60,440.00
https://www.bearspace.co.uk/product-page/stroke-by-deanna-lewis,"""Stroke"" by Deanna Lewis",Acrylic and oil paint on canvas,40,60,440.00
https://www.bearspace.co.uk/product-page/with-tomorrow-by-chris-hawtin,With Tomorrow by Chris Hawtin,Oil on canvas,50,60,940.00
https://www.bearspace.co.uk/product-page/the-reaches-by-chris-hawtin,The Reaches by Chris Hawtin,Oil on canvas,50,60,940.00
https://www.bearspace.co.uk/product-page/the-high-way-peak-by-jane-ward-1,The High Way (Peak) by Jane Ward,Digital print on Canvas with hand dissolved ink,90,70,940.00
https://www.bearspace.co.uk/product-page/the-chaos-by-chris-hawtin,The Chaos by Chris Hawtin,Oil on canvas,50,60,940.00
https://www.bearspace.co.uk/product-page/message-of-undying-love-by-dominic-bradnum,Message Of Undying Love by Dominic Bradnum,"oil, watercolour, charcoal and ink on canvas",110,150,"2,400.00"
https://www.bearspace.co.uk/product-page/in-these-solitudes-by-jane-ward,In These Solitudes by Jane Ward,Digital print on Canvas with hand dissolved ink,70,90,840.00
https://www.bearspace.co.uk/product-page/of-earth-air-and-water-by-jane-ward,"Of Earth, Air and Water by Jane Ward",Digital print on Canvas with hand dissolved ink,70,90,840.00
https://www.bearspace.co.uk/product-page/sshhh-by-dominic-bradnum,SSHHH by Dominic Bradnum,oil on canvas,40,50,640.00
https://www.bearspace.co.uk/product-page/from-frozen-floods-by-jane-ward,From Frozen Floods by Jane Ward,Digital print on Canvas with hand dissolved ink,70,90,840.00
https://www.bearspace.co.uk/product-page/broad-vales-between-by-jane-ward,Broad Vales Between by Jane Ward,Digital print on Canvas with hand dissolved ink,70,90,840.00
https://www.bearspace.co.uk/product-page/and-the-sunset-by-jane-ward,And The Sunset by Jane Ward,Digital print on Canvas with hand dissolved ink,70,90,840.00
https://www.bearspace.co.uk/product-page/wherever-you-go-i-will-follow-by-dominic-bradnum,"Wherever You Go, I Will Follow by Dominic Bradnum","oil, watercolour, charcoal and ink on canvas",70,100,"1,400.00"
https://www.bearspace.co.uk/product-page/to-the-zenith-sheight-by-jane-ward,To The Zenith'sHeight by Jane Ward,Digital print on canvas with dissolved ink and pigment,90,120,"1,400.00"
https://www.bearspace.co.uk/product-page/from-the-curved-horizon-by-jane-ward,From the Curved Horizon by Jane Ward,Digital print on canvas with dissolved ink and gold leaf,90,120,"1,400.00"
https://www.bearspace.co.uk/product-page/spangled-by-john-greenwood,Spangled by John Greenwood,Oil on Canvas,35,30,"3,000.00"
https://www.bearspace.co.uk/product-page/unfathomable-deeps-by-jane-ward,Unfathomable Deeps by Jane Ward,Digital print on Canvas with hand dissolved ink,70,90,840.00
https://www.bearspace.co.uk/product-page/museum-of-now-by-john-greenwood,Museum of now by John Greenwood,Oil on Gessoed canvas on Board,45,38,"9,800.00"
https://www.bearspace.co.uk/product-page/el-dorado-by-john-greenwood,El Dorado by John Greenwood,Oil on Gessoed canvas on Board,45,38,"3,800.00"
https://www.bearspace.co.uk/product-page/entry-point-by-joseph-stokes,Entry Point by Joseph Stokes,Graphite on paper,50,40,720.00
https://www.bearspace.co.uk/product-page/where-stars-dissolve-by-bella-easton,Where Stars Dissolve by Bella Easton,Pencil on Arches paper,56,41,"3,200.00"
https://www.bearspace.co.uk/product-page/angel-heart-by-bella-easton,ANGEL HEART by Bella Easton,Pencil on Arches paper,56,41,"3,200.00"
https://www.bearspace.co.uk/product-page/white-sitting-double-by-vic-wright,White Sitting Double by Vic Wright,24K gold leaf & white casting cement,13.5,10,290.00
https://www.bearspace.co.uk/product-page/standing-triple-black-grey-and-white-by-vic-wright,Standing Triple Black Grey and White by Vic Wright,White and grey casting cement with ink,14,11,340.00
https://www.bearspace.co.uk/product-page/standing-grey-double-by-vic-wright,Standing Grey double by Vic Wright,Grey casting cement,12,6.5,180.00
https://www.bearspace.co.uk/product-page/standing-white-and-grey-speckle-by-vic-wright,Standing White and Grey speckle by Vic Wright,White and Grey fine casting cement with white wax,14,13,325.00
https://www.bearspace.co.uk/product-page/standing-triple-grey-and-black-by-vic-wright,Standing Triple Grey and Black by Vic Wright,24k gold leaf with casting cement,15,14,380.00
https://www.bearspace.co.uk/product-page/meld-1-by-vic-wright,Meld 1 by Vic Wright,"24k gold leaf, white casting cement and ground iron",17,14,440.00
https://www.bearspace.co.uk/product-page/meld-3-by-vic-wright,Meld 3 by Vic Wright,"13k gold leaf, white casting cement and ink",18,12,440.00
https://www.bearspace.co.uk/product-page/standing-white-black-gold-by-vic-wright,"Standing White , black & gold by Vic Wright","Lichen gilded with 24k gold leaf, moss with ground copper, and white casting cement",12,6,280.00
https://www.bearspace.co.uk/product-page/conversation-3-by-vic-wright,Conversation 3 by Vic Wright,"Fine white casting cement, ink, crystals and 24k gold leaf",12,10,340.00
https://www.bearspace.co.uk/product-page/facet-by-vic-wright,Facet by Vic Wright,13k gold leaf and grey casting cement.,10,6,140.00
https://www.bearspace.co.uk/product-page/meld-2-by-vic-wright,Meld 2 by Vic Wright,"24k goldleaf, white and black cement with iron",15,12,320.00
https://www.bearspace.co.uk/product-page/conversation-by-vic-wright,Conversation by Vic Wright,18K gold leaf and white casting cement,16.5,13,440.00
https://www.bearspace.co.uk/product-page/conversation-2-by-vic-wright,Conversation 2 by Vic Wright,Black and white casting cement with 24k gold leaf,12,8,320.00
https://www.bearspace.co.uk/product-page/green-sanctuary-by-dionne-cole,Green Sanctuary by Dionne Cole,Sculpted hand and laser cut paper,58,85.5,"1,200.00"
https://www.bearspace.co.uk/product-page/ore-by-vic-wright,Ore by Vic Wright,"18k goldleaf, grey casting cement and white wax.",8.5,8,140.00
https://www.bearspace.co.uk/product-page/facet-2-by-vic-wright,Facet 2 by Vic Wright,"24k gold leaf, white casting cement and ink",7,7,140.00
https://www.bearspace.co.uk/product-page/facet-3-by-vic-wright,Facet 3 by Vic Wright,"Fine white casting cement, ink and 18k gold",7,7,140.00
https://www.bearspace.co.uk/product-page/facet-4-by-vic-wright,Facet 4 by Vic Wright,Fine white casting cement and 24k gold leaf,7.5,6,140.00
https://www.bearspace.co.uk/product-page/facet-5-by-vic-wright,Facet 5 by Vic Wright,"Fine white casting cement, ink and 24k gold leaf",8,6.5,140.00
https://www.bearspace.co.uk/product-page/shades-of-coral-ii-by-dionne-cole,Shades of Coral II by Dionne Cole,Sculpted hand and laser cut paper,30.5,40.7,490.00
https://www.bearspace.co.uk/product-page/flight-by-dionne-cole,Flight by Dionne Cole,Sculpted hand and laser cut paper,92,155,"2,800.00"
https://www.bearspace.co.uk/product-page/the-tide-seems-to-whisper-your-name-by-dominic-badnum,The Tide Seems To Whisper Your Name by Dominic Badnum,oil on canvas,80,100,"1,600.00"
https://www.bearspace.co.uk/product-page/you-took-my-breath-away-by-dominic-badnum,This Day Is Ours by Dominic Bradnum,"oil with charcoal, watercolour and pencil on canvas",40,50,640.00
https://www.bearspace.co.uk/product-page/disperse-by-dionne-cole,Disperse by Dionne Cole,"Sculpted hand and laser cut paper, pins",76,101.6,"1,400.00"
https://www.bearspace.co.uk/product-page/take-my-hand-by-dominic-badnum,Take My Hand by Dominic Badnum,oil on canvas with charcoal and watercolour,40,50,840.00
https://www.bearspace.co.uk/product-page/i-see-beauty-in-everything-by-dominic-badnum,I See Beauty In Everything by Dominic Badnum,oil on canvas with charcoal and watercolour,80,100,"1,600.00"
https://www.bearspace.co.uk/product-page/purple-motion-by-dionne-cole,Purple Motion by Dionne Cole,"Sculpted hand and laser cut paper, pins",59.4,84.1,"1,200.00"
https://www.bearspace.co.uk/product-page/from-steep-to-steep-by-jane-ward,From Steep to Steep by Jane Ward,Digital print on Aluminium,45,60,640.00
https://www.bearspace.co.uk/product-page/the-ephemeral-isles-1-by-jane-ward,The Ephemeral Isles 1 by Jane Ward,Digital print on Aluminium,90,120,"1,800.00"
https://www.bearspace.co.uk/product-page/meld-4-by-vic-wright,Meld 4 by Vic Wright,"13K gold leaf, copper leaf, white casting cement, iron and pigment",18,15,440.00
https://www.bearspace.co.uk/product-page/from-frozen-floods-by-jane-ward-1,From Frozen Floods by Jane Ward,Digital print on Aluminium,24,30,340.00
https://www.bearspace.co.uk/product-page/those-hidden-ravines-by-jane-ward,Those Hidden Ravines by Jane Ward,Digital print on Aluminium,45,60,640.00
https://www.bearspace.co.uk/product-page/meld-5-by-vic-wright,Meld 6 by Vic Wright,"16K goldleaf, white casting cement, pigment and ink",17,18,440.00
https://www.bearspace.co.uk/product-page/castle-2-by-jane-ward,Castle 2 by Jane Ward,Digital print on Aluminium,45,60,640.00
https://www.bearspace.co.uk/product-page/copy-of-meld-5,Meld 5,"13K gold leaf, copper leaf, white casting cement, iron and pigment",17,15,420.00
https://www.bearspace.co.uk/product-page/the-ephemeral-isles-5a-by-jane-ward,The Ephemeral Isles 5 by Jane Ward,Digital print on canvas with dissolved ink,45,60,490.00
https://www.bearspace.co.uk/product-page/portal-1-by-jane-ward,Portal 1 by Jane Ward,Digital print under acrylic with subframe,,,320.00
https://www.bearspace.co.uk/product-page/unfathomable-deeps-by-jane-ward-1,Unfathomable Deeps by Jane Ward,Digital print on Aluminium,24,30,340.00
https://www.bearspace.co.uk/product-page/fragmentation-no-44-by-jim-cheatle,FRAGMENTATION No.44 by Jim Cheatle,"Resin, pigments, inkjet prints, canvas, MDF",70,54.5,"1,200.00"
https://www.bearspace.co.uk/product-page/fragmentation-no-45-by-jim-cheatle,FRAGMENTATION No.45 by Jim Cheatle,"Resin, pigments, inkjet prints, acrylic, paper, MDF",70,54.5,"1,200.00"
https://www.bearspace.co.uk/product-page/fragmentation-no-46-by-jim-cheatle,FRAGMENTATION No.46 by Jim Cheatle,"Resin, pigments, indian ink, watercolour paper, inkjet prints, MDF",70,54.5,"1,200.00"
https://www.bearspace.co.uk/product-page/fragmentation-no-33-by-jim-cheatle,FRAGMENTATION No.33 by Jim Cheatle,"Resin, pigments, canvas, paper, inkjet prints, MDF",70,54.5,"1,200.00"
https://www.bearspace.co.uk/product-page/fragmentation-no-17-by-jim-cheatle,FRAGMENTATION No.17 by Jim Cheatle,"Resin, pigments, canvas, paper, inkjet prints, MDF",70,54.5,"1,200.00"
https://www.bearspace.co.uk/product-page/fragmentation-no-10-by-jim-cheatle,FRAGMENTATION No.10 by Jim Cheatle,"Resin, pigments, paper, indian ink, inkjet prints, MDF",70,54.5,"1,200.00"
https://www.bearspace.co.uk/product-page/fragstudy-1-by-jim-cheatle,Fragstudy 1 by Jim Cheatle,"Resin, pigments, inkjet prints, MDF",30.5,23,490.00
https://www.bearspace.co.uk/product-page/fragstudy-3-by-jim-cheatle,Fragstudy 3 by Jim Cheatle,"Resin, pigments, inkjet prints, MDF",30.5,23,490.00
https://www.bearspace.co.uk/product-page/fragstudy-4-by-jim-cheatle,Fragstudy 4 by Jim Cheatle,"Resin, pigments, inkjet prints, MDF",30.5,23,490.00
https://www.bearspace.co.uk/product-page/fragstudy-5-by-jim-cheatle,Fragstudy 7 by Jim Cheatle,"Resin, pigments, inkjet prints, MDF",30.5,23,490.00
https://www.bearspace.co.uk/product-page/fragstudy-2-by-jim-cheatle,Fragstudy 2 by Jim Cheatle,"Resin, pigments, inkjet prints, MDF",30.5,23,490.00
https://www.bearspace.co.uk/product-page/portal-6-by-jane-ward,Portal 6 by Jane Ward,Digital print under acrylic with subframe,,,320.00
https://www.bearspace.co.uk/product-page/portal-5-by-jane-ward,Portal 5 by Jane Ward,Digital print under acrylic with subframe,,,320.00
https://www.bearspace.co.uk/product-page/portal-7-by-jane-ward,Portal 7 by Jane Ward,Digital print under acrylic with subframe,,,490.00
https://www.bearspace.co.uk/product-page/balancing-acts-iv-by-elise-wootten,Balancing Acts IV by Elise Wootten,Inkjet Print (Hahnemuhle Ultra-Smooth),40.7,50.8,400.00
https://www.bearspace.co.uk/product-page/portal-8-by-jane-ward,Portal 8 by Jane Ward,Digital print under acrylic with subframe,,,490.00
https://www.bearspace.co.uk/product-page/you-took-my-breath-away-by-dominic-bradnum,You Took My Breath Away by Dominic Bradnum,"oil on canvas with charcoal, watercolour and pencil",40,50,640.00
https://www.bearspace.co.uk/product-page/balancing-acts-ii-by-elise-wootten,Balancing Acts II by Elise Wootten,Inkjet Print (Hahnemuhle Ultra-Smooth),40.7,50.8,400.00
https://www.bearspace.co.uk/product-page/portal-9-by-jane-ward,Portal 9 by Jane Ward,Digital print under acrylic with subframe,,,490.00
https://www.bearspace.co.uk/product-page/as-the-tide-turned-by-dominic-bradnum,As The Tide Turned by Dominic Bradnum,"Oil with charcoal, watercolour and sand on canvas",100,80,"1,400.00"
https://www.bearspace.co.uk/product-page/balancing-acts-iii-by-elise-wootten,Balancing Acts III by Elise Wootten,Inkjet Print (Hahnemuhle Ultra-Smooth),40.7,50.8,400.00
https://www.bearspace.co.uk/product-page/balancing-acts-v-by-elise-wootten,Balancing Acts V by Elise Wootten,Inkjet Print (Hahnemuhle Ultra-Smooth),40.7,50.8,340.00
https://www.bearspace.co.uk/product-page/balancing-acts-i-by-elise-wootten,Balancing Acts I by Elise Wootten,Inkjet Print (Hahnemuhle Ultra-Smooth),40.7,50.8,400.00
https://www.bearspace.co.uk/product-page/somewhat-confusing-i-by-elise-wootten,Somewhat Confusing I by Elise Wootten,"Aluminium, Inkjet Vinyl Print",74,88,640.00
https://www.bearspace.co.uk/product-page/all-recognisable-entities-by-elise-wootten,All Recognisable Entities by Elise Wootten,Set of four,40.9,50.2,"1,200.00"
https://www.bearspace.co.uk/product-page/to-the-zenith-s-height-by-jane-ward,To The Zenith's Height by Jane Ward,Archival digital print on canvas with dissolved canvas,90,120,"1,400.00"
https://www.bearspace.co.uk/product-page/somewhat-confusing-ii-by-elise-wootten,Somewhat Confusing II by Elise Wootten,"Aluminium, Inkjet Vinyl Print",75,89,640.00
https://www.bearspace.co.uk/product-page/somewhat-confusing-iii-by-elise-wootten,Somewhat Confusing III by Elise Wootten,"Aluminium, Inkjet Vinyl Print",75,88,640.00
https://www.bearspace.co.uk/product-page/morning-came-by-dominic-bradnum,Morning Came by Dominic Bradnum,"oil with charcoal, watercolour and pencil on canvas",40,50,640.00
https://www.bearspace.co.uk/product-page/the-ephemeral-isles-by-jane-ward,The Ephemeral Isles by Jane Ward,Archival digital print on canvas with dissolved canvas,90,120,"1,400.00"
https://www.bearspace.co.uk/product-page/kin-by-vic-wright,Kin by Vic Wright,"24k gold leaf, crystal, iron and white and grey casting cement.",16,14,440.00
https://www.bearspace.co.uk/product-page/another-sunset-by-lucy-baker,Another Sunset by Lucy Baker,"Oil paint, spray paint & gold leaf on board",42,34,340.00
https://www.bearspace.co.uk/product-page/hurricane-by-lucy-baker,Hurricane by Lucy Baker,Oil paint & spray paint on board,30,40,0.00
https://www.bearspace.co.uk/product-page/overland-i-by-jane-ward,Overland I by Jane Ward,"Archival Digital print on stretched canvas, finished with gold leaf",90,120,"1,400.00"
https://www.bearspace.co.uk/product-page/off-road-by-lucy-baker,OFF ROAD by Lucy Baker,"Oil paint, spray paint & gold leaf on board",30,40,340.00
https://www.bearspace.co.uk/product-page/the-hurricane-by-lucy-baker,The Hurricane by Lucy Baker,"Oil paint, spray paint & gold leaf on board",110,130,"1,600.00"
https://www.bearspace.co.uk/product-page/amazons-by-lucy-baker,Amazons by Lucy Baker,"Oil paint, spray paint & gold leaf on board",110,130,"1,600.00"
